seed,preset,runs,truth_runs,shared_zero_runs,over_shared_ge_0_8_runs,over_shared_le_0_05_runs,validation_errors_total,shared_variables_mean,shared_variables_std,over_shared_ratio_mean,over_shared_ratio_std,shared_f1_mean,shared_f1_std,shared_f1_median,mean_best_group_jaccard_mean,mean_best_group_jaccard_std,validation_errors_mean,validation_errors_std,function_evaluations_mean,function_evaluations_std
1,balanced,6,6,0,0,0,0,6.5,1.8929694486,0.318333333333,0.146789721105,0.0892857142857,0.0961636572702,0.0714285714285,0.554316088575,0.140322393882,0,0,7786.66666667,8881.50637874
1,capped,6,6,0,0,0,0,12.1666666667,6.9141561709,0.476666666667,0.0334995854037,0.266415683082,0.0537528773284,0.285714285714,0.516882021936,0.0785164694367,0,0,7786.66666667,8881.50637874
1,conservative,6,6,6,0,6,0,0,0,0,0,0,0,0,0.615310439219,0.238596832905,0,0,7786.66666667,8881.50637874
11,balanced,6,6,0,0,0,0,7,2.30940107676,0.326666666667,0.122156548012,0.077922077922,0.0789969159778,0.0714285714285,0.544178635924,0.142264564238,0,0,7786.66666667,8881.50637874
11,capped,6,6,0,0,0,0,12.1666666667,6.9141561709,0.476666666667,0.0334995854037,0.178673178673,0.0897038961183,0.194444444444,0.571030468011,0.0758093696514,0,0,7786.66666667,8881.50637874
11,conservative,6,6,6,0,6,0,0,0,0,0,0,0,0,0.61012943176,0.236851815362,0,0,7786.66666667,8881.50637874
3,balanced,6,6,0,0,0,0,6.66666666667,1.88561808316,0.318333333333,0.11495168067,0.095238095238,0.1064794275,0.0714285714285,0.558050383896,0.157980993781,0,0,7786.66666667,8881.50637874
3,capped,6,6,0,0,0,0,12.1666666667,6.9141561709,0.476666666667,0.0334995854037,0.25407000407,0.0539783091029,0.258241758241,0.555715804205,0.053001779173,0,0,7786.66666667,8881.50637874
3,conservative,6,6,6,0,6,0,0,0,0,0,0,0,0,0.61012943176,0.236851815362,0,0,7786.66666667,8881.50637874
5,balanced,6,6,0,0,0,0,6.66666666667,1.6996731712,0.326666666667,0.131993265821,0.190476190476,0.196338363125,0.142857142857,0.541030936411,0.136539556587,0,0,7786.66666667,8881.50637874
5,capped,6,6,0,0,0,0,11.8333333333,6.46572158042,0.47,0.0428174419289,0.201477411477,0.0986058126719,0.235384615385,0.516298672406,0.101727119028,0,0,7786.66666667,8881.50637874
5,conservative,6,6,6,0,6,0,0,0,0,0,0,0,0,0.610796377518,0.236004007216,0,0,7786.66666667,8881.50637874
